,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value,gpu_count
101,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,cpu-usage,68.6,0
102,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,wall-time,47.0,0
103,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,duration,51.26685953140259,0
104,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Multiple,hookup-time,4.266859531402588,0
105,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,matom_steps_per_second,3.998,0
106,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,cpu-usage,74.3,0
107,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,wall-time,66.0,0
108,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,duration,69.53005075454712,0
109,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,hookup-time,3.530050754547119,0
110,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,matom_steps_per_second,4.102,0
111,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,cpu-usage,74.3,0
112,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,wall-time,62.0,0
113,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,duration,65.29176449775696,0
114,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,hookup-time,3.291764497756958,0
115,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,matom_steps_per_second,3.956,0
116,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,cpu-usage,74.3,0
117,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,wall-time,64.0,0
118,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,duration,66.79271936416626,0
119,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Multiple,hookup-time,2.7927193641662598,0
120,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Sample,matom_steps_per_second,5.701,0
121,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Sample,cpu-usage,74.4,0
122,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Sample,wall-time,46.0,0
123,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Sample,duration,49.473602056503296,0
124,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Sample,hookup-time,3.473602056503296,0
125,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Sample,matom_steps_per_second,6.124,0
126,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Sample,cpu-usage,74.4,0
127,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Sample,wall-time,41.0,0
128,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Sample,duration,44.80640459060669,0
129,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu Mpich eBPF Sample,hookup-time,3.8064045906066895,0
130,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Sample,matom_steps_per_second,6.481,0
131,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Sample,cpu-usage,81.3,0
132,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Sample,wall-time,40.0,0
133,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Sample,duration,44.02299404144287,0
134,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Sample,hookup-time,4.022994041442871,0
135,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Sample,matom_steps_per_second,6.254,0
136,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Sample,cpu-usage,81.3,0
137,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Sample,wall-time,42.0,0
138,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Sample,duration,46.44228959083557,0
139,google/gke/cpu,google,gke,cpu,8,lammps,Ubuntu OpenMPI eBPF Sample,hookup-time,4.442289590835571,0
140,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Sample,matom_steps_per_second,4.411,0
141,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Sample,cpu-usage,79.5,0
142,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Sample,wall-time,59.0,0
143,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Sample,duration,62.17250037193298,0
144,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Sample,hookup-time,3.1725003719329834,0
145,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Sample,matom_steps_per_second,4.469,0
146,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Sample,cpu-usage,79.5,0
147,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Sample,wall-time,57.0,0
148,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Sample,duration,59.828320026397705,0
149,google/gke/cpu,google,gke,cpu,8,lammps,Rocky OpenMPI eBPF Sample,hookup-time,2.828320026397705,0
150,google/gke/cpu,google,gke,cpu,4,lammps,Rocky OpenMPI,matom_steps_per_second,2.702,0
